Stock,Model,R2,RMSE,MSE,MAE
JPM,KNN,-1.5234,0.0073,5.3e-05,0.005
JPM,AdaBoost,0.8564,0.0017,3e-06,0.0014
JPM,CatBoost,0.8297,0.0019,4e-06,0.0014
JPM,XGBoost,0.8127,0.002,4e-06,0.0013
JPM,RandomForest,0.9079,0.0014,2e-06,0.001
BAC,KNN,-1.5992,0.0063,4e-05,0.005
BAC,AdaBoost,0.7429,0.002,4e-06,0.0014
BAC,CatBoost,0.7564,0.0019,4e-06,0.0014
BAC,XGBoost,0.8309,0.0016,3e-06,0.0011
BAC,RandomForest,0.6704,0.0023,5e-06,0.0015
WFC,KNN,-1.2453,0.0069,4.7e-05,0.0054
WFC,AdaBoost,0.8091,0.002,4e-06,0.0016
WFC,CatBoost,0.8709,0.0016,3e-06,0.0012
WFC,XGBoost,0.8655,0.0017,3e-06,0.0012
WFC,RandomForest,0.884,0.0016,2e-06,0.0011
GS,KNN,-1.5996,0.0051,2.6e-05,0.0038
GS,AdaBoost,0.7193,0.0017,3e-06,0.0013
GS,CatBoost,0.7948,0.0014,2e-06,0.001
GS,XGBoost,0.811,0.0014,2e-06,0.001
GS,RandomForest,0.8482,0.0012,2e-06,0.0009
MS,KNN,-0.5045,0.0046,2.2e-05,0.0038
MS,AdaBoost,0.8392,0.0015,2e-06,0.0011
MS,CatBoost,0.8213,0.0016,3e-06,0.0012
MS,XGBoost,0.8465,0.0015,2e-06,0.001
MS,RandomForest,0.8679,0.0014,2e-06,0.001
PNC,KNN,-2.6854,0.0074,5.5e-05,0.0057
PNC,AdaBoost,0.8349,0.0016,2e-06,0.0012
PNC,CatBoost,0.7699,0.0019,3e-06,0.0013
PNC,XGBoost,0.8549,0.0015,2e-06,0.0011
PNC,RandomForest,0.8794,0.0013,2e-06,0.001
BMO,KNN,-0.8419,0.004,1.6e-05,0.0034
BMO,AdaBoost,0.586,0.0019,4e-06,0.0014
BMO,CatBoost,0.4227,0.0022,5e-06,0.0014
BMO,XGBoost,0.7649,0.0014,2e-06,0.001
BMO,RandomForest,0.7177,0.0016,2e-06,0.001
STT,KNN,-1.0919,0.0081,6.6e-05,0.0066
STT,AdaBoost,0.7974,0.0025,6e-06,0.0019
STT,CatBoost,0.8824,0.0019,4e-06,0.0012
STT,XGBoost,0.8658,0.0021,4e-06,0.0012
STT,RandomForest,0.8749,0.002,4e-06,0.0013
HSBC,KNN,-1.1933,0.0075,5.6e-05,0.0063
HSBC,AdaBoost,0.8928,0.0017,3e-06,0.0012
HSBC,CatBoost,0.9235,0.0014,2e-06,0.001
HSBC,XGBoost,0.9025,0.0016,3e-06,0.0011
HSBC,RandomForest,0.9168,0.0015,2e-06,0.001
AXP,KNN,-5.9124,0.0136,0.000184,0.0102
AXP,AdaBoost,0.6792,0.0029,9e-06,0.0022
AXP,CatBoost,0.7042,0.0028,8e-06,0.0022
AXP,XGBoost,0.7062,0.0028,8e-06,0.0021
AXP,RandomForest,0.7908,0.0024,6e-06,0.0018
FITB,KNN,-3.0225,0.0112,0.000126,0.0084
FITB,AdaBoost,0.8464,0.0022,5e-06,0.0015
FITB,CatBoost,0.765,0.0027,7e-06,0.0017
FITB,XGBoost,0.8714,0.002,4e-06,0.0014
FITB,RandomForest,0.8794,0.0019,4e-06,0.0013
MTB,KNN,-2.7376,0.0089,7.9e-05,0.0069
MTB,AdaBoost,0.7397,0.0024,6e-06,0.0015
MTB,CatBoost,0.7441,0.0023,5e-06,0.0015
MTB,XGBoost,0.7108,0.0025,6e-06,0.0014
MTB,RandomForest,0.79,0.0021,4e-06,0.0013
